sys_id,number,short_description,description,category,subcategory,priority,state,assigned_to,assignment_group,resolution_notes,close_notes,opened_at,closed_at,sys_updated_on
a1b2c3d4e5f60001,INC0001001,社内ポータルにログインできない,朝9時頃から社内ポータル（https://portal.example.co.jp）にログインしようとすると「認証エラー」と表示される。パスワードは正しく入力している。Chrome と Edge の両方で再現する。,ソフトウェア,認証,2,7,田中 太郎,ITサービスデスク,Active Directory の認証サーバーが一時的に過負荷状態だった。AD サーバーの再起動後に正常復旧。影響ユーザー約50名。,AD サーバー監視アラートの閾値を調整済み。,2025-01-15 09:12:00,2025-01-15 10:45:00,2025-01-15 10:45:00
a1b2c3d4e5f60002,INC0001002,メール送信時にタイムアウトエラーが発生,Outlook からメール送信を行うと「サーバーへの接続がタイムアウトしました」とエラーが表示される。受信は正常に動作している。添付ファイルのないメールでも同様。,ソフトウェア,メール,2,7,鈴木 花子,メールシステム管理,Exchange サーバーの送信キューが詰まっていた。キューのクリアと SMTP サービスの再起動で復旧。,送信キュー監視ジョブを15分間隔に変更。,2025-01-18 14:30:00,2025-01-18 16:00:00,2025-01-18 16:00:00
a1b2c3d4e5f60003,INC0001003,VPN 接続が頻繁に切断される,リモートワーク中に VPN 接続が10-15分おきに切断される。再接続は可能だが作業効率が著しく低下している。GlobalProtect クライアント v6.1 を使用。,ネットワーク,VPN,3,7,佐藤 次郎,ネットワーク運用,GlobalProtect クライアントの MTU 設定が不適切だった。MTU を 1400 から 1300 に変更し安定化。クライアント設定の一括配信で全社展開済み。,VPN クライアント設定テンプレートを更新。,2025-01-20 10:00:00,2025-01-22 14:30:00,2025-01-22 14:30:00
a1b2c3d4e5f60004,INC0001004,基幹システムのレスポンスが極端に遅い,午前中の業務時間帯（9:00-12:00）に基幹システム（SAP）のトランザクション応答が通常の5倍以上かかる。特に在庫照会と受注登録で顕著。,ソフトウェア,パフォーマンス,1,7,高橋 誠,基幹システム運用,データベースの統計情報が古くなっていた。統計情報の再収集と実行計画の再生成で改善。ピーク時の応答時間が5秒→0.8秒に回復。,週次での統計情報更新ジョブをスケジュール追加。,2025-01-25 09:30:00,2025-01-25 13:00:00,2025-01-25 13:00:00
a1b2c3d4e5f60005,INC0001005,社内 Wi-Fi に接続できない（3F 会議室エリア）,3階の会議室エリアで Wi-Fi（SSID: CORP-WIFI）に接続できない。他のフロアでは正常に接続可能。スマートフォンとノートPCの両方で再現。,ネットワーク,無線LAN,3,7,山田 健一,ネットワーク運用,3F の無線 AP（Cisco Aironet）のファームウェアバグにより DHCP リース配布が停止していた。ファームウェアを v17.9.4a に更新して解消。,全 AP のファームウェアバージョン棚卸しを実施。,2025-02-01 13:15:00,2025-02-02 10:00:00,2025-02-02 10:00:00
a1b2c3d4e5f60006,INC0001006,経費精算システムでファイル添付ができない,経費精算システムで領収書画像（JPG/PNG）を添付しようとするとアップロードが0%のまま進まない。ブラウザのコンソールに CORS エラーが表示されている。,ソフトウェア,Webアプリケーション,3,7,伊藤 美咲,アプリケーション開発,CDN の CORS 設定が最新デプロイで欠落していた。Azure CDN の CORS ポリシーに対象ドメインを再追加して解消。,デプロイパイプラインに CORS 設定チェックを追加。,2025-02-05 11:00:00,2025-02-05 15:30:00,2025-02-05 15:30:00
a1b2c3d4e5f60007,INC0001007,プリンタ（複合機MFP-4F-01）から印刷できない,4階の複合機 MFP-4F-01 に印刷ジョブを送信しても出力されない。印刷キューにはジョブが溜まっている状態。他のプリンタからは印刷可能。,ハードウェア,プリンタ,4,7,渡辺 翔太,オフィスインフラ,プリントスプーラーサービスが停止していた。サービス再起動で復旧。溜まっていた印刷ジョブも順次出力された。,複合機の死活監視を Zabbix に追加。,2025-02-10 16:00:00,2025-02-10 16:30:00,2025-02-10 16:30:00
a1b2c3d4e5f60008,INC0001008,Teams 会議で画面共有ができない,Microsoft Teams の会議中に画面共有を開始しようとすると「共有を開始できません」とエラーになる。音声とビデオは正常。Windows 11 で再現。,ソフトウェア,コラボレーション,3,7,中村 真理,Microsoft 365 運用,GPU ドライバの互換性問題。Intel UHD Graphics ドライバを最新版（v31.0.101.5768）に更新して解消。ハードウェアアクセラレーション設定も最適化。,Teams の推奨ドライババージョンを社内 FAQ に追加。,2025-02-12 10:30:00,2025-02-13 09:00:00,2025-02-13 09:00:00
a1b2c3d4e5f60009,INC0001009,データベースのバックアップジョブが失敗している,本番環境の SQL Server 日次バックアップジョブが3日連続で失敗。エラーログには「ディスク領域不足」と記録されている。バックアップ先は NAS（\\\\nas01\\backup）。,ソフトウェア,データベース,1,7,小林 大輔,データベース管理,NAS のバックアップ領域が90日以上前の古いバックアップで圧迫されていた。保持期間ポリシーを90日→30日に変更し40%の領域を回収。即時バックアップ成功を確認。,バックアップ領域の使用率80%でアラート発報するよう設定。,2025-02-15 08:00:00,2025-02-15 11:00:00,2025-02-15 11:00:00
a1b2c3d4e5f60010,INC0001010,社内システムで二要素認証のSMSが届かない,Azure AD の MFA 設定で SMS 認証を選択しているが確認コードが届かない。複数のユーザーから同時に報告あり。Authenticator アプリは正常動作。,セキュリティ,認証,2,7,加藤 優子,セキュリティ運用,SMS プロバイダー（Twilio）の API キーが期限切れだった。新しい API キーを生成して Azure AD のカスタム設定に反映。テスト送信で正常動作を確認。,API キー有効期限の監視を四半期ごとのチェックリストに追加。,2025-02-18 08:45:00,2025-02-18 10:15:00,2025-02-18 10:15:00
